acupoint_iri,acupoint_label,special_point_iri,special_point,special_point_category_iri,special_point_category
http://www.acupunctureresearch.org/tara/ontology/TARA_7517723,TE 10,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_3369897,TE 1,http://www.acupunctureresearch.org/tara/ontology/TARA_2954517,Jing-Well Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5356503,TE 3,http://www.acupunctureresearch.org/tara/ontology/TARA_6705086,Shu-Stream Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7510801,TE 6,http://www.acupunctureresearch.org/tara/ontology/TARA_7315457,Jing-River Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7896553,TE 2,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_7896553,TE 2,http://www.acupunctureresearch.org/tara/ontology/TARA_9857829,Ying-Spring Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_3369897,TE 1,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_8393005,TE 5,http://www.acupunctureresearch.org/tara/ontology/TARA_9493899,Confluent Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5356503,TE 3,http://www.acupunctureresearch.org/tara/ontology/TARA_6705086,Shu-Stream Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_7517723,TE 10,http://www.acupunctureresearch.org/tara/ontology/TARA_6594221,He-Sea Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_3810639,TE 7,http://www.acupunctureresearch.org/tara/ontology/TARA_4598552,Xi-Cleft Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7517723,TE 10,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_7510801,TE 6,http://www.acupunctureresearch.org/tara/ontology/TARA_7315457,Jing-River Point,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point
http://www.acupunctureresearch.org/tara/ontology/TARA_8393005,TE 5,http://www.acupunctureresearch.org/tara/ontology/TARA_6993030,Luo-Connecting Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
http://www.acupunctureresearch.org/tara/ontology/TARA_5356503,TE 3,http://www.acupunctureresearch.org/tara/ontology/TARA_1787498,Shu Point,http://www.acupunctureresearch.org/tara/ontology/TARA_4943316,Special Point on the Limbs
